page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path	Chr	Start	End	source	composite_key
69	1	Upper_Left	0078b0c4-68a9-483b-9aab-61156d263213	17:7417765−57239409	11, 11	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_69_part_1.png	17	7417765	57239409	HC	0078b0c4-68a9-483b-9aab-61156d263213_17_7417765_57239409
219	2	Upper_Right	0082_CRUK_PC_0082	10:59502181−102770426	16, 24	24.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_219_part_2.png	10	59502181	102770426	HC	0082_CRUK_PC_0082_10_59502181_102770426
219	1	Upper_Left	0082_CRUK_PC_0082	6:2865588−18891521	14, 14	14.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_219_part_1.png	6	2865588	18891521	HC	0082_CRUK_PC_0082_6_2865588_18891521
117	3	Lower_Left	0089_CRUK_PC_0089	11:103634542−133363653	6, 10	10.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_117_part_3.png	11	103634542	133363653	D3	0089_CRUK_PC_0089_11_103634542_133363653
219	4	Lower_Right	0089_CRUK_PC_0089	13:19665581−31750172	8, 12	17.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_219_part_4.png	13	19665581	31750172	HC	0089_CRUK_PC_0089_13_19665581_31750172
219	3	Lower_Left	0089_CRUK_PC_0089	6:81197888−127781306	18, 18	18.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_219_part_3.png	6	81197888	127781306	HC	0089_CRUK_PC_0089_6_81197888_127781306
118	2	Upper_Right	0090_CRUK_PC_0090	11:90271061−99662500	5, 5	5.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_118_part_2.png	11	90271061	99662500	D3	0090_CRUK_PC_0090_11_90271061_99662500
220	2	Upper_Right	0090_CRUK_PC_0090	12:4134323−74087961	12, 13	24.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_220_part_2.png	12	4134323	74087961	HC	0090_CRUK_PC_0090_12_4134323_74087961
220	1	Upper_Left	0090_CRUK_PC_0090	4:67524856−158414913	14, 14	22.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_220_part_1.png	4	67524856	158414913	HC	0090_CRUK_PC_0090_4_67524856_158414913
117	4	Lower_Right	0090_CRUK_PC_0090	5:41539060−97372926	7, 7	7.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_117_part_4.png	5	41539060	97372926	D3	0090_CRUK_PC_0090_5_41539060_97372926
118	1	Upper_Left	0090_CRUK_PC_0090	8:4593970−79446086	9, 14	16.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_118_part_1.png	8	4593970	79446086	D3	0090_CRUK_PC_0090_8_4593970_79446086
220	4	Lower_Right	0091_CRUK_PC_0091	11:3944706−132738959	15, 15	15.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_220_part_4.png	11	3944706	132738959	HC	0091_CRUK_PC_0091_11_3944706_132738959
221	1	Upper_Left	0091_CRUK_PC_0091	12:4404224−14760891	8, 8	8.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_221_part_1.png	12	4404224	14760891	HC	0091_CRUK_PC_0091_12_4404224_14760891
221	2	Upper_Right	0091_CRUK_PC_0091	13:61651222−91504852	25, 34	34.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_221_part_2.png	13	61651222	91504852	HC	0091_CRUK_PC_0091_13_61651222_91504852
171	4	Lower_Right	0091_CRUK_PC_0091	18:8673012−67370977	5, 7	8.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_171_part_4.png	18	8673012	67370977	LC	0091_CRUK_PC_0091_18_8673012_67370977
118	3	Lower_Left	0091_CRUK_PC_0091	1:166331375−177156264	17, 17	17.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_118_part_3.png	1	166331375	177156264	D3	0091_CRUK_PC_0091_1_166331375_177156264
118	4	Lower_Right	0091_CRUK_PC_0091	3:69780654−86522449	23, 27	27.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_118_part_4.png	3	69780654	86522449	D3	0091_CRUK_PC_0091_3_69780654_86522449
220	3	Lower_Left	0091_CRUK_PC_0091	5:654406−92191496	21, 23	23.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_220_part_3.png	5	654406	92191496	HC	0091_CRUK_PC_0091_5_654406_92191496
119	1	Upper_Left	0091_CRUK_PC_0091	7:82954981−145981427	9, 17	26.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_119_part_1.png	7	82954981	145981427	D3	0091_CRUK_PC_0091_7_82954981_145981427
65	2	Upper_Right	00bca18c-b3d4-45a3-8f19-034cc40449a4	12:47208673−56550744	4, 6	6.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_65_part_2.png	12	47208673	56550744	LC	00bca18c-b3d4-45a3-8f19-034cc40449a4_12_47208673_56550744
69	2	Upper_Right	01a92062-967a-4900-8dc7-a5ecd3b3f8e2	6:5106696−142756791	10, 17	17.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_69_part_2.png	6	5106696	142756791	HC	01a92062-967a-4900-8dc7-a5ecd3b3f8e2_6_5106696_142756791
66	1	Upper_Left	01a92062-967a-4900-8dc7-a5ecd3b3f8e2	9:115736690−134498722	5, 9	27.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_66_part_1.png	9	115736690	134498722	LC	01a92062-967a-4900-8dc7-a5ecd3b3f8e2_9_115736690_134498722
245	1	Upper_Left	01ad975d-c2ed-4e4d-bd3b-c9512fc9073c	17:34042841−67932342	14, 14	14.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_245_part_1.png	17	34042841	67932342	HC	01ad975d-c2ed-4e4d-bd3b-c9512fc9073c_17_34042841_67932342
124	4	Lower_Right	028e99e9-5b9a-4954-bb6e-6d4709a3cea8	12:21630873−71673041	9, 13	15.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_124_part_4.png	12	21630873	71673041	HC	028e99e9-5b9a-4954-bb6e-6d4709a3cea8_12_21630873_71673041
117	3	Lower_Left	037c57d1-b4a5-45dc-bda4-0550461d321b	15:74425114−99150104	5, 5	9.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_117_part_3.png	15	74425114	99150104	LC	037c57d1-b4a5-45dc-bda4-0550461d321b_15_74425114_99150104
71	2	Upper_Right	037c57d1-b4a5-45dc-bda4-0550461d321b	1:51845048−55431534	4, 5	9.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_71_part_2.png	1	51845048	55431534	D3	037c57d1-b4a5-45dc-bda4-0550461d321b_1_51845048_55431534
71	3	Lower_Left	037c57d1-b4a5-45dc-bda4-0550461d321b	2:32968870−222526259	7, 9	36.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_71_part_3.png	2	32968870	222526259	D3	037c57d1-b4a5-45dc-bda4-0550461d321b_2_32968870_222526259
71	4	Lower_Right	037c57d1-b4a5-45dc-bda4-0550461d321b	5:1852334−41793671	6, 10	22.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_71_part_4.png	5	1852334	41793671	D3	037c57d1-b4a5-45dc-bda4-0550461d321b_5_1852334_41793671
118	1	Upper_Left	0398eae1-7216-4595-80a5-6b117d96e070	18:1190790−67995083	6, 7	46.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_118_part_1.png	18	1190790	67995083	LC	0398eae1-7216-4595-80a5-6b117d96e070_18_1190790_67995083
118	2	Upper_Right	0398eae1-7216-4595-80a5-6b117d96e070	21:14366223−44334417	6, 10	20.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_118_part_2.png	21	14366223	44334417	LC	0398eae1-7216-4595-80a5-6b117d96e070_21_14366223_44334417
130	1	Upper_Left	0398eae1-7216-4595-80a5-6b117d96e070	5:7830470−88829799	9, 10	45.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_130_part_1.png	5	7830470	88829799	HC	0398eae1-7216-4595-80a5-6b117d96e070_5_7830470_88829799
117	4	Lower_Right	0398eae1-7216-4595-80a5-6b117d96e070	9:15996503−22530833	5, 10	10.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_117_part_4.png	9	15996503	22530833	LC	0398eae1-7216-4595-80a5-6b117d96e070_9_15996503_22530833
69	4	Lower_Right	054f472f-98cb-4559-b2e2-b5f800fc8eef	13:20289812−114141768	9, 9	9.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_69_part_4.png	13	20289812	114141768	HC	054f472f-98cb-4559-b2e2-b5f800fc8eef_13_20289812_114141768
69	3	Lower_Left	054f472f-98cb-4559-b2e2-b5f800fc8eef	2:176323−23468097	19, 32	49.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_69_part_3.png	2	176323	23468097	HC	054f472f-98cb-4559-b2e2-b5f800fc8eef_2_176323_23468097
13	4	Lower_Right	05506f4c-e701-4a9d-ae06-97f066aade43	11:8956771−130101571	15, 15	24.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_13_part_4.png	11	8956771	130101571	D3	05506f4c-e701-4a9d-ae06-97f066aade43_11_8956771_130101571
14	1	Upper_Left	05506f4c-e701-4a9d-ae06-97f066aade43	12:8551694−125253036	13, 31	31.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_14_part_1.png	12	8551694	125253036	D3	05506f4c-e701-4a9d-ae06-97f066aade43_12_8551694_125253036
14	2	Upper_Right	05506f4c-e701-4a9d-ae06-97f066aade43	17:7564505−56539923	9, 14	23.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_14_part_2.png	17	7564505	56539923	D3	05506f4c-e701-4a9d-ae06-97f066aade43_17_7564505_56539923
47	4	Lower_Right	05506f4c-e701-4a9d-ae06-97f066aade43	1:37390229−190370478	12, 23	35.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_47_part_4.png	1	37390229	190370478	HC	05506f4c-e701-4a9d-ae06-97f066aade43_1_37390229_190370478
14	3	Lower_Left	05506f4c-e701-4a9d-ae06-97f066aade43	21:18301501−38211721	12, 12	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_14_part_3.png	21	18301501	38211721	D3	05506f4c-e701-4a9d-ae06-97f066aade43_21_18301501_38211721
11	1	Upper_Left	05506f4c-e701-4a9d-ae06-97f066aade43	8:58610813−141628750	6, 8	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_11_part_1.png	8	58610813	141628750	D4	05506f4c-e701-4a9d-ae06-97f066aade43_8_58610813_141628750
51	2	Upper_Right	06ac44e9-1226-4202-828b-6f224766d7ac	1:8058341−244930271	5, 7	13.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_51_part_2.png	1	8058341	244930271	D3	06ac44e9-1226-4202-828b-6f224766d7ac_1_8058341_244930271
70	1	Upper_Left	0798dbe2-1914-427c-a2fe-2a865d0d6eda	10:5388962−135052041	19, 29	59.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_70_part_1.png	10	5388962	135052041	HC	0798dbe2-1914-427c-a2fe-2a865d0d6eda_10_5388962_135052041
35	1	Upper_Left	0798dbe2-1914-427c-a2fe-2a865d0d6eda	3:183615477−183945373	12, 12	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_35_part_1.png	3	183615477	183945373	D3	0798dbe2-1914-427c-a2fe-2a865d0d6eda_3_183615477_183945373
66	2	Upper_Right	0798dbe2-1914-427c-a2fe-2a865d0d6eda	9:17843117−36219343	5, 9	19.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_66_part_2.png	9	17843117	36219343	LC	0798dbe2-1914-427c-a2fe-2a865d0d6eda_9_17843117_36219343
48	4	Lower_Right	084c6aec-94f7-4090-8f3f-59fa9e89721a	12:22079238−133021689	13, 28	28.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_48_part_4.png	12	22079238	133021689	HC	084c6aec-94f7-4090-8f3f-59fa9e89721a_12_22079238_133021689
40	2	Upper_Right	084c6aec-94f7-4090-8f3f-59fa9e89721a	17:25508004−62998961	4, 5	41.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_40_part_2.png	17	25508004	62998961	LC	084c6aec-94f7-4090-8f3f-59fa9e89721a_17_25508004_62998961
48	1	Upper_Left	084c6aec-94f7-4090-8f3f-59fa9e89721a	3:36209435−190323857	37, 37	37.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_48_part_1.png	3	36209435	190323857	HC	084c6aec-94f7-4090-8f3f-59fa9e89721a_3_36209435_190323857
48	2	Upper_Right	084c6aec-94f7-4090-8f3f-59fa9e89721a	7:6161338−57778540	9, 13	42.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_48_part_2.png	7	6161338	57778540	HC	084c6aec-94f7-4090-8f3f-59fa9e89721a_7_6161338_57778540
48	3	Lower_Left	084c6aec-94f7-4090-8f3f-59fa9e89721a	8:33053387−75087727	9, 9	36.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_48_part_3.png	8	33053387	75087727	HC	084c6aec-94f7-4090-8f3f-59fa9e89721a_8_33053387_75087727
283	1	Upper_Left	085ffcdc-8600-42e2-852a-506465f716a2	10:43499619−48588565	16, 16	16.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_283_part_1.png	10	43499619	48588565	HC	085ffcdc-8600-42e2-852a-506465f716a2_10_43499619_48588565
40	3	Lower_Left	08da7c4c-3067-4bcf-9d7a-78566df72e69	12:3255392−12445504	6, 9	56.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_40_part_3.png	12	3255392	12445504	LC	08da7c4c-3067-4bcf-9d7a-78566df72e69_12_3255392_12445504
1	2	Upper_Right	096b4f32-10c1-4737-a0dd-cae04c54ee33	13:42975600−107442606	10, 10	10.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_1_part_2.png	13	42975600	107442606	D3	096b4f32-10c1-4737-a0dd-cae04c54ee33_13_42975600_107442606
4	3	Lower_Left	096b4f32-10c1-4737-a0dd-cae04c54ee33	3:31044413−84685234	12, 12	12.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_4_part_3.png	3	31044413	84685234	HC	096b4f32-10c1-4737-a0dd-cae04c54ee33_3_31044413_84685234
4	4	Lower_Right	096b4f32-10c1-4737-a0dd-cae04c54ee33	5:67743249−176695147	14, 20	20.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_4_part_4.png	5	67743249	176695147	HC	096b4f32-10c1-4737-a0dd-cae04c54ee33_5_67743249_176695147
92	2	Upper_Right	098acb76-0bf5-44e5-bcae-f919cf5fa5e5	10:4932621−32240886	5, 6	22.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_92_part_2.png	10	4932621	32240886	D3	098acb76-0bf5-44e5-bcae-f919cf5fa5e5_10_4932621_32240886
134	4	Lower_Right	098acb76-0bf5-44e5-bcae-f919cf5fa5e5	13:24753200−112130103	6, 12	36.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_134_part_4.png	13	24753200	112130103	LC	098acb76-0bf5-44e5-bcae-f919cf5fa5e5_13_24753200_112130103
92	3	Lower_Left	098acb76-0bf5-44e5-bcae-f919cf5fa5e5	18:1815322−75311633	9, 29	40.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_92_part_3.png	18	1815322	75311633	D3	098acb76-0bf5-44e5-bcae-f919cf5fa5e5_18_1815322_75311633
91	3	Lower_Left	098acb76-0bf5-44e5-bcae-f919cf5fa5e5	1:49064386−205747224	9, 9	47.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_91_part_3.png	1	49064386	205747224	D3	098acb76-0bf5-44e5-bcae-f919cf5fa5e5_1_49064386_205747224
91	4	Lower_Right	098acb76-0bf5-44e5-bcae-f919cf5fa5e5	5:32370239−40782660	4, 6	11.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_91_part_4.png	5	32370239	40782660	D3	098acb76-0bf5-44e5-bcae-f919cf5fa5e5_5_32370239_40782660
92	1	Upper_Left	098acb76-0bf5-44e5-bcae-f919cf5fa5e5	9:1986986−134705327	7, 26	39.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_92_part_1.png	9	1986986	134705327	D3	098acb76-0bf5-44e5-bcae-f919cf5fa5e5_9_1986986_134705327
92	4	Lower_Right	098acb76-0bf5-44e5-bcae-f919cf5fa5e5	X:4890040−140268120	18, 19	71.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_92_part_4.png	X	4890040	140268120	D3	098acb76-0bf5-44e5-bcae-f919cf5fa5e5_X_4890040_140268120
40	4	Lower_Right	0a2a3529-f645-4967-9a58-89ee20b8bb62	8:28068350−48961471	4, 7	21.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_40_part_4.png	8	28068350	48961471	LC	0a2a3529-f645-4967-9a58-89ee20b8bb62_8_28068350_48961471
93	1	Upper_Left	0a48873a-092a-4b25-822b-b0b3c18c08a8	5:66641825−177746139	8, 8	8.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_93_part_1.png	5	66641825	177746139	D3	0a48873a-092a-4b25-822b-b0b3c18c08a8_5_66641825_177746139
204	4	Lower_Right	0aecac64-5982-4d76-8f31-958f6a00951d	12:24064615−98708265	4, 4	66.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_204_part_4.png	12	24064615	98708265	LC	0aecac64-5982-4d76-8f31-958f6a00951d_12_24064615_98708265
137	4	Lower_Right	0aecac64-5982-4d76-8f31-958f6a00951d	13:30969347−99319808	8, 8	8.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_137_part_4.png	13	30969347	99319808	D3	0aecac64-5982-4d76-8f31-958f6a00951d_13_30969347_99319808
137	2	Upper_Right	0aecac64-5982-4d76-8f31-958f6a00951d	2:9254169−220466625	7, 11	23.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_137_part_2.png	2	9254169	220466625	D3	0aecac64-5982-4d76-8f31-958f6a00951d_2_9254169_220466625
137	3	Lower_Left	0aecac64-5982-4d76-8f31-958f6a00951d	3:4802945−186280725	12, 20	31.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_137_part_3.png	3	4802945	186280725	D3	0aecac64-5982-4d76-8f31-958f6a00951d_3_4802945_186280725
205	1	Upper_Left	0b4e8d73-459d-4930-9d1a-abb8d53e1844	2:101189993−207792558	5, 7	19.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.low_confidence/page_205_part_1.png	2	101189993	207792558	LC	0b4e8d73-459d-4930-9d1a-abb8d53e1844_2_101189993_207792558
63	1	Upper_Left	0b4e8d73-459d-4930-9d1a-abb8d53e1844	8:38410763−129492841	3, 6	88.0	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset4/page_63_part_1.png	8	38410763	129492841	D4	0b4e8d73-459d-4930-9d1a-abb8d53e1844_8_38410763_129492841
