page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path	Chr	Start	End
4	4	Lower_Right	096b4f32-10c1-4737-a0dd-cae04c54ee33	5:67743249−176695147	14, 20	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_4_part_4.png	5	67743249	176695147
5	1	Upper_Left	3ed614e7-f356-4d87-985b-d3bbbae3bb40	16:6669849−31591597	8, 22	22	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_5_part_1.png	16	6669849	31591597
5	2	Upper_Right	3ed614e7-f356-4d87-985b-d3bbbae3bb40	X:3858348−76848685	7, 7	7	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_5_part_2.png	X	3858348	76848685
5	3	Lower_Left	493a4ff2-37a5-4b79-928d-83dbfe534556	4:144150885−190874076	9, 16	29	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_5_part_3.png	4	144150885	190874076
5	4	Lower_Right	5d54c742-5a8e-4c40-8d62-95e75e210ab8	4:72403638−190385402	9, 10	37	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_5_part_4.png	4	72403638	190385402
6	1	Upper_Left	5d54c742-5a8e-4c40-8d62-95e75e210ab8	12:15725603−31961309	7, 13	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_6_part_1.png	12	15725603	31961309
6	2	Upper_Right	797a71ee-372d-41e5-aeee-5ab3c4661110	13:21033268−104354353	10, 27	41	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_6_part_2.png	13	21033268	104354353
6	3	Lower_Left	797a71ee-372d-41e5-aeee-5ab3c4661110	20:24187366−56783859	16, 16	16	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_6_part_3.png	20	24187366	56783859
6	4	Lower_Right	904a8757-e0c5-41ef-b583-c8f170caaac1	8:5291228−33089595	11, 14	14	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_6_part_4.png	8	5291228	33089595
7	1	Upper_Left	904a8757-e0c5-41ef-b583-c8f170caaac1	21:14511470−48074038	14, 16	43	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_7_part_1.png	21	14511470	48074038
7	2	Upper_Right	f48937ed-e294-41f0-8872-7010391167a9	2:82560680−181154512	9, 9	9	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_7_part_2.png	2	82560680	181154512
7	3	Lower_Left	CGP_donor_1437410	6:70986165−164827209	17, 17	17	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_7_part_3.png	6	70986165	164827209
7	4	Lower_Right	CGP_donor_1437411	1:51871319−244912139	18, 18	18	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_7_part_4.png	1	51871319	244912139
8	1	Upper_Left	CGP_donor_1437411	2:8888556−242818178	37, 37	37	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_8_part_1.png	2	8888556	242818178
8	2	Upper_Right	CGP_donor_1437411	4:3484005−186431924	37, 37	37	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_8_part_2.png	4	3484005	186431924
8	3	Lower_Left	CGP_donor_1437411	5:67575508−163331317	11, 11	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_8_part_3.png	5	67575508	163331317
8	4	Lower_Right	CGP_donor_1437411	6:1694508−170873562	57, 57	57	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_8_part_4.png	6	1694508	170873562
9	1	Upper_Left	CGP_donor_1602529	4:35358971−48132846	11, 15	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_9_part_1.png	4	35358971	48132846
9	2	Upper_Right	CGP_donor_1691150	1:2737096−33713570	15, 15	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_9_part_2.png	1	2737096	33713570
9	3	Lower_Left	CGP_donor_1691150	18:19084928−61967083	16, 27	27	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_9_part_3.png	18	19084928	61967083
9	4	Lower_Right	CGP_donor_1841267	16:46689644−89652038	24, 24	24	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_9_part_4.png	16	46689644	89652038
10	1	Upper_Left	CGP_donor_1397077	6:88458092−155828131	9, 13	40	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_10_part_1.png	6	88458092	155828131
10	2	Upper_Right	CGP_donor_1397083	16:32468669−82206220	7, 10	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_10_part_2.png	16	32468669	82206220
10	3	Lower_Left	CGP_donor_1397084	1:213162214−247806789	13, 14	30	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_10_part_3.png	1	213162214	247806789
10	4	Lower_Right	CGP_donor_1397084	8:155450−145113709	8, 20	90	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_10_part_4.png	8	155450	145113709
11	1	Upper_Left	CGP_donor_1437403	3:137693454−187956215	11, 22	30	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_11_part_1.png	3	137693454	187956215
11	2	Upper_Right	CGP_donor_1437403	10:757620−15159495	9, 11	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_11_part_2.png	10	757620	15159495
11	3	Lower_Left	CGP_donor_1437403	14:48802183−106839331	15, 19	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_11_part_3.png	14	48802183	106839331
11	4	Lower_Right	CGP_donor_1437404	3:5273444−86230794	19, 25	55	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_11_part_4.png	3	5273444	86230794
12	1	Upper_Left	CGP_donor_1437404	4:121261720−181140074	36, 50	57	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_12_part_1.png	4	121261720	181140074
12	2	Upper_Right	CGP_donor_1437404	5:18472606−43606863	14, 16	33	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_12_part_2.png	5	18472606	43606863
12	3	Lower_Left	CGP_donor_1437404	12:54388545−79574150	3, 4	127	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_12_part_3.png	12	54388545	79574150
12	4	Lower_Right	CGP_donor_1437404	19:29326898−57862516	14, 14	19	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_12_part_4.png	19	29326898	57862516
13	1	Upper_Left	CGP_donor_1437406	3:8793061−39393867	11, 11	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_13_part_1.png	3	8793061	39393867
13	2	Upper_Right	CGP_donor_1437406	5:55072−32110730	6, 6	99	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_13_part_2.png	5	55072	32110730
13	3	Lower_Left	CGP_donor_1437406	12:4757456−129380238	4, 5	551	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_13_part_3.png	12	4757456	129380238
13	4	Lower_Right	CGP_donor_1437407	11:86917622−100968022	14, 14	14	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_13_part_4.png	11	86917622	100968022
14	1	Upper_Left	CGP_donor_1437407	20:50980028−62689311	13, 29	46	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_14_part_1.png	20	50980028	62689311
14	2	Upper_Right	CGP_donor_1437409	2:189048530−203590444	13, 13	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_14_part_2.png	2	189048530	203590444
14	3	Lower_Left	CGP_donor_1437409	12:22931670−39481564	14, 17	34	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_14_part_3.png	12	22931670	39481564
14	4	Lower_Right	CGP_donor_1437409	16:2570177−12331926	8, 8	8	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_14_part_4.png	16	2570177	12331926
15	1	Upper_Left	CGP_donor_1490908	1:5777564−248793247	12, 21	52	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_15_part_1.png	1	5777564	248793247
15	2	Upper_Right	CGP_donor_1490908	6:64603046−167895820	11, 13	130	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_15_part_2.png	6	64603046	167895820
15	3	Lower_Left	CGP_donor_1490914	6:76106264−166727720	6, 9	65	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_15_part_3.png	6	76106264	166727720
15	4	Lower_Right	CGP_donor_1490914	10:50348934−97731679	9, 13	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_15_part_4.png	10	50348934	97731679
16	1	Upper_Left	CGP_donor_1490914	19:16843361−54772913	7, 13	78	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_16_part_1.png	19	16843361	54772913
16	2	Upper_Right	CGP_donor_1528364	2:98265301−240710956	10, 16	81	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_16_part_2.png	2	98265301	240710956
16	3	Lower_Left	CGP_donor_1528364	4:161515724−190840263	11, 12	65	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_16_part_3.png	4	161515724	190840263
16	4	Lower_Right	CGP_donor_1528364	5:878141−41078797	12, 12	126	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_16_part_4.png	5	878141	41078797
17	1	Upper_Left	CGP_donor_1528364	7:62514967−158846143	8, 15	274	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_17_part_1.png	7	62514967	158846143
17	2	Upper_Right	CGP_donor_1528364	8:71431403−119090655	9, 22	22	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_17_part_2.png	8	71431403	119090655
17	3	Lower_Left	CGP_donor_1528364	10:44478896−86379721	15, 30	70	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_17_part_3.png	10	44478896	86379721
17	4	Lower_Right	CGP_donor_1528364	18:63082505−77710470	7, 17	83	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_17_part_4.png	18	63082505	77710470
18	1	Upper_Left	CGP_donor_1528371	12:70291799−112943997	9, 18	23	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_18_part_1.png	12	70291799	112943997
18	2	Upper_Right	CGP_donor_1528371	13:103350092−106906740	7, 7	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_18_part_2.png	13	103350092	106906740
18	3	Lower_Left	CGP_donor_1528381	2:143820724−160979294	7, 7	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_18_part_3.png	2	143820724	160979294
18	4	Lower_Right	CGP_donor_1528381	6:494867−75444947	20, 24	43	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_18_part_4.png	6	494867	75444947
19	1	Upper_Left	CGP_donor_1528381	19:5000187−56724969	8, 9	18	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_19_part_1.png	19	5000187	56724969
19	2	Upper_Right	CGP_donor_1691133	2:184287853−237379430	11, 12	27	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_19_part_2.png	2	184287853	237379430
19	3	Lower_Left	CGP_donor_1691133	5:49680325−176939873	8, 12	20	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_19_part_3.png	5	49680325	176939873
19	4	Lower_Right	CGP_donor_1691133	8:54201065−139568174	8, 19	23	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_19_part_4.png	8	54201065	139568174
20	1	Upper_Left	CGP_donor_1691133	18:20691527−64759312	7, 9	43	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_20_part_1.png	18	20691527	64759312
20	2	Upper_Right	CGP_donor_1691135	9:1002337−47212849	9, 24	54	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_20_part_2.png	9	1002337	47212849
20	3	Lower_Left	CGP_donor_1691135	21:33576946−40152008	10, 10	10	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_20_part_3.png	21	33576946	40152008
20	4	Lower_Right	CGP_donor_1691147	1:146691688−249090423	13, 67	79	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_20_part_4.png	1	146691688	249090423
21	1	Upper_Left	CGP_donor_1691147	2:4339643−84633644	8, 22	22	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_21_part_1.png	2	4339643	84633644
21	2	Upper_Right	CGP_donor_1691147	8:121801782−134076197	9, 9	9	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_21_part_2.png	8	121801782	134076197
21	3	Lower_Left	CGP_donor_1691147	15:33299268−98372536	8, 9	29	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_21_part_3.png	15	33299268	98372536
21	4	Lower_Right	CGP_donor_1691147	18:2636202−13923208	9, 11	13	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_21_part_4.png	18	2636202	13923208
22	1	Upper_Left	CGP_donor_1691147	19:2553855−32893078	5, 7	72	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_22_part_1.png	19	2553855	32893078
22	2	Upper_Right	CGP_donor_1691149	2:95756719−226666706	10, 10	32	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_22_part_2.png	2	95756719	226666706
22	3	Lower_Left	CGP_donor_1691149	12:39356696−73985137	4, 5	77	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_22_part_3.png	12	39356696	73985137
22	4	Lower_Right	CGP_donor_1691207	5:4320966−44667330	14, 43	112	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_22_part_4.png	5	4320966	44667330
23	1	Upper_Left	CGP_donor_1691207	8:50128153−138434525	16, 16	30	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_23_part_1.png	8	50128153	138434525
23	2	Upper_Right	CGP_donor_1691208	11:59962284−134707313	6, 7	47	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_23_part_2.png	11	59962284	134707313
23	3	Lower_Left	CGP_donor_1691209	1:151613490−246812975	8, 11	14	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_23_part_3.png	1	151613490	246812975
23	4	Lower_Right	CGP_donor_1691210	9:90338614−98608467	10, 18	28	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_23_part_4.png	9	90338614	98608467
24	1	Upper_Left	CGP_donor_1691210	12:66698784−98376745	11, 21	55	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_24_part_1.png	12	66698784	98376745
24	2	Upper_Right	CGP_donor_1691211	2:9233757−238199400	15, 42	76	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_24_part_2.png	2	9233757	238199400
24	3	Lower_Left	CGP_donor_1691211	9:72321762−137935609	9, 10	86	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_24_part_3.png	9	72321762	137935609
24	4	Lower_Right	CGP_donor_1691211	16:6326850−23636186	9, 10	28	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_24_part_4.png	16	6326850	23636186
25	1	Upper_Left	CGP_donor_1691211	17:996864−13569641	8, 11	23	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_25_part_1.png	17	996864	13569641
25	2	Upper_Right	CGP_donor_1691213	11:25558833−42430376	9, 13	25	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_25_part_2.png	11	25558833	42430376
25	3	Lower_Left	CGP_donor_1691213	12:38831735−119704559	5, 8	232	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_25_part_3.png	12	38831735	119704559
25	4	Lower_Right	CGP_donor_1691214	3:29117586−189128945	7, 17	82	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_25_part_4.png	3	29117586	189128945
26	1	Upper_Left	CGP_donor_1691214	X:48348455−150018347	7, 8	166	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_26_part_1.png	X	48348455	150018347
26	2	Upper_Right	CGP_donor_1691215	17:54416−80744029	37, 73	73	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_26_part_2.png	17	54416	80744029
26	3	Lower_Left	CGP_donor_1691217	13:20312035−47194343	12, 18	56	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_26_part_3.png	13	20312035	47194343
26	4	Lower_Right	CGP_donor_1691217	X:88486379−153095441	9, 11	29	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_26_part_4.png	X	88486379	153095441
27	1	Upper_Left	CGP_donor_1230755	5:31942233−93707021	7, 7	7	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_27_part_1.png	5	31942233	93707021
27	2	Upper_Right	CGP_donor_1230755	8:17274088−43561752	7, 12	12	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_27_part_2.png	8	17274088	43561752
27	3	Lower_Left	CGP_donor_1232859	6:56201574−162603780	9, 12	31	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_27_part_3.png	6	56201574	162603780
27	4	Lower_Right	CGP_donor_1234121	18:19776092−47210113	7, 8	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_27_part_4.png	18	19776092	47210113
28	1	Upper_Left	CGP_donor_1234122	2:3892443−238924020	26, 26	26	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_28_part_1.png	2	3892443	238924020
28	2	Upper_Right	CGP_donor_1234123	1:101766772−111649270	10, 13	15	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_28_part_2.png	1	101766772	111649270
28	3	Lower_Left	CGP_donor_1234124	1:16353677−153794553	7, 13	24	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_28_part_3.png	1	16353677	153794553
28	4	Lower_Right	CGP_donor_1234124	2:23018733−86416994	7, 9	9	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_28_part_4.png	2	23018733	86416994
29	1	Upper_Left	CGP_donor_1234124	20:14054448−51465273	7, 7	7	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_29_part_1.png	20	14054448	51465273
29	2	Upper_Right	CGP_donor_1333047	18:47340927−64019671	7, 7	9	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_29_part_2.png	18	47340927	64019671
29	3	Lower_Left	CGP_donor_1333048	13:41489453−67817353	9, 9	9	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_29_part_3.png	13	41489453	67817353
29	4	Lower_Right	CGP_donor_1337214	2:167215273−179453980	9, 10	11	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_29_part_4.png	2	167215273	179453980
30	1	Upper_Left	CGP_donor_1337222	19:5982144−53477754	19, 22	22	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_30_part_1.png	19	5982144	53477754
30	2	Upper_Right	CGP_donor_1337225	1:147121037−226598450	7, 9	31	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_30_part_2.png	1	147121037	226598450
30	3	Lower_Left	CGP_donor_1337226	1:41613153−240778773	21, 24	59	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_30_part_3.png	1	41613153	240778773
30	4	Lower_Right	CGP_donor_1337226	2:26938396−230264706	12, 20	86	/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.high_confidence/page_30_part_4.png	2	26938396	230264706
